ticker,market_date,price,open,high,low,volume,change
ETH,2/13/2020,268.75,265.59,277.39,257.09,25.05M,1.19%
ETH,2/12/2020,265.58,236.75,274.89,236.73,23.79M,12.18%
ETH,2/11/2020,236.76,222.94,238.61,218.22,17.39M,6.19%
ETH,2/10/2020,222.95,228.61,229.28,217.02,16.50M,-2.47%
ETH,2/9/2020,228.59,223.23,230.38,223.07,14.28M,2.40%
ETH,2/8/2020,223.23,223.47,227.55,213.75,15.98M,-0.13%
ETH,2/7/2020,223.51,213.15,224.53,213.14,16.73M,4.86%
ETH,2/6/2020,213.16,203.84,216.14,201.29,16.44M,4.58%
ETH,2/5/2020,203.83,188.94,207.51,188.26,14.67M,7.89%
ETH,2/4/2020,188.93,189.8,191.48,188.93,11.56M,-0.45%
ETH,2/3/2020,189.79,188.48,194.92,187.16,11.95M,0.69%
ETH,2/2/2020,188.5,183.58,193.25,179.49,14.54M,2.65%
ETH,2/1/2020,183.64,179.88,184.17,179.36,13.24M,2.08%
ETH,1/31/2020,179.91,184.6,185.67,175.46,11.77M,-2.54%
ETH,1/30/2020,184.59,173.86,186.76,171.2,13.02M,6.17%
ETH,1/29/2020,173.86,175.78,178.41,173.76,11.27M,-1.07%
ETH,1/28/2020,175.74,170.27,176.06,170.27,12.63M,3.21%
ETH,1/27/2020,170.27,167.91,171.97,165.45,12.54M,1.41%
ETH,1/26/2020,167.9,160.4,168,159.55,9.82M,4.65%
ETH,1/25/2020,160.44,162.56,162.72,157.87,9.63M,-1.29%
ETH,1/24/2020,162.55,162.8,164.27,155.65,14.88M,-0.15%
ETH,1/23/2020,162.8,168.15,168.25,159.78,14.86M,-3.17%
ETH,1/22/2020,168.13,169.41,171.27,166.19,11.30M,-0.76%
ETH,1/21/2020,169.41,166.87,169.79,165.53,11.52M,1.52%
ETH,1/20/2020,166.87,166.92,169.24,161.61,11.30M,-0.03%
ETH,1/19/2020,166.92,174.17,177.77,162.04,15.84M,-4.17%
ETH,1/18/2020,174.19,170.18,179.29,165.34,17.42M,2.33%
ETH,1/17/2020,170.22,164.39,173.96,162.33,18.57M,3.57%
ETH,1/16/2020,164.36,166.44,167.18,159.08,16.24M,-1.26%
ETH,1/15/2020,166.45,166.07,166.45,159.74,16.66M,0.23%
ETH,1/14/2020,166.07,143.59,169.73,143.59,22.85M,15.65%
ETH,1/13/2020,143.6,146.5,146.87,142.64,10.26M,-1.95%
ETH,1/12/2020,146.46,142.65,146.46,142,10.01M,2.66%
ETH,1/11/2020,142.67,144.81,147.68,142.23,12.46M,-1.48%
ETH,1/10/2020,144.81,137.93,144.86,135.69,13.37M,4.99%
ETH,1/9/2020,137.92,140.8,141.6,135.85,11.38M,-2.05%
ETH,1/8/2020,140.81,143.01,147.55,137.61,13.71M,-1.56%
ETH,1/7/2020,143.04,144.09,145.13,139.22,13.58M,-0.73%
ETH,1/6/2020,144.08,135.59,144.27,135.17,14.36M,6.26%
ETH,1/5/2020,135.59,134.32,138.33,134.32,12.19M,0.94%
ETH,1/4/2020,134.33,134.3,135.57,132.76,11.16M,0.04%
ETH,1/3/2020,134.27,127.19,134.86,126.05,15.67M,5.56%
ETH,1/2/2020,127.19,130.75,130.77,126.74,11.45M,-2.72%
ETH,1/1/2020,130.75,129.21,132.97,128.81,10.35M,1.19%
BTC,12/31/2020,28949.4,28866.8,29298.8,28025,136.69K,0.28%
BTC,12/30/2020,28868.7,27374.5,28979.3,27374.5,159.82K,5.45%
BTC,12/29/2020,27376,27065.3,27390.7,25902.8,119.57K,1.18%
BTC,12/28/2020,27057.8,26259.2,27444.9,26144.3,126.98K,3.03%
BTC,12/27/2020,26261.3,26460.3,28360.3,25858.2,231.23K,-0.73%
BTC,12/26/2020,26454.4,24714.7,26826,24515.1,155.77K,7.15%
BTC,12/25/2020,24689.6,23728.7,24778.9,23445.3,2.40K,4.02%
BTC,12/24/2020,23736.5,23253.2,23783.7,22737.3,104.59K,2.06%
